review_id,username,rating,date_variant,rasa,kualitas,kadaluarsa,likes,image_count,video_count,comment
14390206207,kicksology_id,5,2024-03-04 13:02 | Variasi: BIJI SANGRAI,kopi,bagus,,9,2,1,"harum kopi nya mantap nanti beli lagi, makasih seller"
14145031968,t*****l,5,2024-02-08 14:54 | Variasi: GILING SUPER HALUS,ok,ok,,3,2,1,"Mantapp memang,,, soal rasa kopi toraja gada obatt,,,salam kopi hitam👍"
79269405053,rikayunitasari77,5,2025-11-18 22:31 | Variasi: GILING SUPER HALUS,mantap,terjamin,,1,1,0,"repurchase wajib ini👍🏻👍🏻👍🏻👍🏻, baru buka aroma udah menggoda, di lambung relatif aman juga, rasa gak usah ragu, kopi berkelas harga waras ini mah hehehe, terima kasih Seller ya, ntar kunorder lagi, reccomended pake banget💥💥💥💥"
32615487562,sabrishbr,5,2025-03-11 09:49 | Variasi: GILING SEDANG,sangat lezat dan memuaskan,sangat baik,,Membantu?,2,1,Mantap memiliki aroma yang khas
60326075625,a*****i,5,2025-07-15 17:45 | Variasi: GILING SUPER HALUS,OK,OK,,Membantu?,3,1,Barang sudah kami terima dalam keadaan baik dan sesuai dengan pesanan. Terimakasih.
79331472581,a*****i,5,2025-11-19 10:26 | Variasi: GILING SUPER HALUS,,,,Membantu?,2,1,Pesanan sudah diterimaa dengan baik pengiriman cepat dibungkus dengan aman .
64991479656,iphul.islam,5,2025-07-31 22:22 | Variasi: BIJI SANGRAI,belum d coba,kelihatanya bagus,,Membantu?,3,1,"Sangat wangi ketika pertama kali d buka, dan bijinya kelihatn segar, serta pengiriman cepat"
36170062272,fidywansaga,5,2025-04-09 09:16 | Variasi: BIJI SANGRAI,harummm,"sangat memuaskan, belom buka aj, udh wangi",,Membantu?,1,0,thankyou bonusnya.. harum skali vanilinya..
82038004980,nurzakiahkia219,5,2025-12-17 20:31 | Variasi: BIJI SANGRAI,sangat harum,,,Membantu?,2,1,Biji kopi harum dan rasanya enak cocok di lidah
81231068735,anton007theant,5,"2025-12-10 13:33 | Variasi: GILING SUPER HALUS, BIJI SANGRAI",belum di coba tapi wangi,bintang lima,,Membantu?,3,1,"sekian lama menunggu seperti nya ini memuaskan, packing aman meski jauh. lain kali beli banyak kalau cafe kopi sudah berdiri. kurir ramah. kopi Toraja belum di coba baru di buka saja sudah wangy...sangat"
75290445064,noranovedhutasoit,5,2025-09-28 12:56 | Variasi: BIJI SANGRAI,,,,Membantu?,1,0,"Baru nyampe (jauh bgt ya dari Makassar ke Tangerang 😂), secara packaging sih ok"
23479667398,hilhamdan_m,5,2024-12-18 18:19 | Variasi: GILING SEDANG,mantapp,baik sekali,,Membantu?,1,0,Mantap packing nya baguss syekali
14344755618,muhhasrul29,5,"2024-02-29 13:36 | Variasi: GILING KASAR, GILING SEDANG",kopi,ok,,Membantu?,1,0,Baru mau coba 🤭
56472756073,muhbintangnurr,5,2025-07-04 08:17 | Variasi: GILING SEDANG,enak,puas,,Membantu?,2,0,
89245011589,z4mabada,5,2026-02-19 08:58 | Variasi: GILING SEDANG,memuaskan,sangat baik,,Membantu?,1,0,
14085368473,sparepartacmobilmakassar89,5,2024-02-03 11:48 | Variasi: BIJI SANGRAI,,,,1,2,0,
79376162073,s*****0,5,2025-11-20 07:50 | Variasi: GILING SEDANG,enak dan harum,bagus,,Membantu?,0,0,"Begitu dibuka langsung kecium aromanya. Di minum juga masih berasa aromanya. Kemasan juga cantik keren banget. Harga masuk akal. Pokoknya puas deh.
Packing aman kemasan ga bocor atau pecah"
64882811375,albatrosjek,5,2025-07-31 13:44 | Variasi: BIJI SANGRAI,,,,Membantu?,2,1,
77505465983,davidsjioen,5,2025-10-25 10:26 | Variasi: GILING SUPER HALUS,,,,Membantu?,4,1,
16718662404,ariefrachmatfirmansyah,4,2024-09-26 09:01 | Variasi: GILING HALUS,lumayan,baik,1 tahun,1,0,0,"Langsung seduh rasanya enak, after taste rasa nutty & coklat. Body kental, acid rendah ga langsung kembung di perut saya yang sensitif.
Dijadikan kopsu pake krimer nestle lumayan, pake krimer elenka lebih enak, & pake susu full cream anget enak banget.
Rasanya lebih kuat ke Robust, tapi untuk harga segitu worthed banget."
74667695943,rafashahk,5,2025-09-22 17:40 | Variasi: GILING SUPER HALUS,lezat,baik,,Membantu?,1,0,
32272077813,d*****h,5,2025-03-06 19:58 | Variasi: GILING SUPER HALUS,,,,1,1,0,
73967116847,azzamisan,5,2025-09-18 19:07 | Variasi: BIJI SANGRAI,,,,Membantu?,2,0,
53191978149,s*****s,5,2025-06-24 13:28 | Variasi: GILING HALUS,mantap,perfect,,Membantu?,0,0,Mantep banget pokoknya ga ada penyesalan beli disini
47403599015,l*****k,5,2025-06-08 15:15 | Variasi: GILING HALUS,,,,Membantu?,1,0,
28934200236,kautsar21,5,2025-01-19 20:03 | Variasi: GILING HALUS,,,,Membantu?,0,0,"Sellernya super fast respon,barang yang dikirim juga aman dari makassar ke jawa. Thankyou seller!😍"
65405500824,dankcie90,5,2025-08-03 18:11 | Variasi: GILING SEDANG,lezat dan memuaskan,baik,,Membantu?,0,0,
73957605587,van_123,5,2025-09-18 13:54 | Variasi: BIJI SANGRAI,enak,sangat baik,,Membantu?,0,0,Aroma enak
76811469552,dianrudi1508,5,2025-10-17 10:41 | Variasi: GILING HALUS,enak cocok di lidahku,wangi dan mantap,,Membantu?,0,0,
15456760226,hairanirani1234,5,2024-06-09 17:53 | Variasi: GILING SUPER HALUS,,,,Membantu?,1,0,
78721946245,adnananwar85,5,2025-11-11 22:54 | Variasi: BIJI SANGRAI,kopinya mantap,"sudah langganan, untuk yg ngopi jarang2 jadi tdk sia-sia beli kopi ukuran besar",,Membantu?,0,0,
14982669209,raniedaru,5,2024-04-25 00:19 | Variasi: GILING SUPER HALUS,ok,terbaik,,Membantu?,0,0,Packing top bisa langsung kirim jkt
