review_id,username,rating,date_variant,rasa,kualitas,kadaluarsa,likes,image_count,video_count,comment
32432189523,fauzan_ahmad24,5,"2025-03-08 09:48 | Variasi: 200 GRAM,Giling Super Halus",Mantapp,bagus sangat halus,22-02-27,1,2,1,Alhamdulillah paketnya sudah sampai rasa nikmat dan yang halus benar-benar sangat halus gilingan kopinya mantapp deh pokoknya terimakasih banyak 👍🏻
12521661787,rosmaliaalisa,5,"2023-09-09 09:19 | Variasi: 200 GRAM,Giling Halus",Aromanya menggoda,Kualitas terbaik di kelas robusta,,1,3,1,"Terima kasih bubuk kopinya sdh tiba, sellernya baik, Kurirnya juga ramah. Rekomendid yg yg ingin menikmati kopi Toraja."
14403396333,b*****6,5,"2024-03-05 14:18 | Variasi: 200 GRAM,Giling Super Halus",,,,2,2,1,"Pengiriman produk sangat cepat karena respon penjual cepat, barang seperti yg diharapkan sesui gambar, sangat rekomended dan tdk akan menyesal memesan ini. Terimakasih"
6547487927,d*****d,5,2021-11-11 11:13,,,,Membantu?,2,1,Cepat sampainya hanya 1 hari sampai. Terima kasih seller..
16638007996,ratuindahry,5,"2024-09-19 09:59 | Variasi: 200 GRAM,Giling Halus",blm d cb,baik,2025,Membantu?,2,1,"Alhamdulillah paket sudah sampai dengan selamat dan sesuai dengan pesanan. Harga sesuai dengan kualitas, wangi banget kopinya. Terimakasih"
14754318613,falah997,5,"2024-04-02 19:16 | Variasi: 200 GRAM,Biji Sangrai",sesuai dengan robusta pada umumnya,baik,,Membantu?,2,1,Nanti coba beans arabika lagi
28921921159,s*****_,5,"2025-01-18 17:44 | Variasi: 200 GRAM,Giling Sedang",cocok dengan selera,sesuai dengan request,masih lama dari kadaluarsa,Membantu?,2,1,
88433107544,suryanadi08,5,"2026-02-11 19:33 | Variasi: 200 GRAM,Biji Sangrai",enak,baik,,Membantu?,2,1,"Kopinya sudah datang, untuk rasa pas dan enak. Terima kasih banyak"
12585270705,suaibbudul,4,"2023-09-14 22:38 | Variasi: 200 GRAM,Giling Sedang","enak, mantap,",bagus,,2,2,1,Cocok untuk pecinta kopi rubusta. Campur susu
35544920792,a*****r,5,"2025-04-03 16:57 | Variasi: 200 GRAM,Biji Sangrai",belum dicoba,ok,ok,Membantu?,2,1,"Pesanan sesuai, respon penjual cepat, pengiriman juga cepat, packing ok."
85129010889,f*****q,5,"2026-01-13 11:51 | Variasi: 200 GRAM,Biji Sangrai",,,,Membantu?,2,1,"Aromanya sangat khas, rasanya mantap, hari sabtu ada pengiriman juga"
29854113960,k*****u,5,"2025-02-01 15:24 | Variasi: 150 GRAM,Biji Sangrai",Belum di coba,,9 Januari 2026,Membantu?,2,1,Pengalaman perdana mau coba kopi di lapak ini
13539751962,ahmad.alauddin80,5,"2023-12-14 15:22 | Variasi: 200 GRAM,Giling Super Halus",,,,2,1,0,Sesuai pesanan dan cepet pula
76089169666,suryanadi08,5,"2025-10-11 19:48 | Variasi: 200 GRAM,Biji Sangrai",enak,sangat baik,panjang,Membantu?,2,1,Barangnya sudah sampai. Sudah di coba dan rasanya enak. Cocok untuk kopi moka pot. Terima kasih.
16015245337,aninditams17,5,"2024-07-31 13:16 | Variasi: 200 GRAM,Biji Sangrai",blm nyoba,baik,,Membantu?,1,0,Belum nyobain semoga enak
14145031967,t*****l,5,2024-02-08 14:54,ok,ok,,Membantu?,2,1,"Uhh narasa memang begitu daerah kami bilang, begitu terima langsung buat dan nikmati, mantappp pooll, salam kopi hitam🙏"
12265623390,h*****2,5,"2023-08-13 14:29 | Variasi: 200 GRAM,Giling Super Halus",mantap,mantap,,Membantu?,0,0,"Nggak sempat difoto soalnya buat oleh2 ke LN. Seller gercep banget, pengirimannya juga cepat. Dalam 2 jam tiba di rumah. Aroma kopinya mantap. Thank u ya"
8944761283,yunitasetia886,5,2022-07-12 14:38,,,,2,1,0,
32069136444,wiliam_halin,5,2025-03-04 15:17,,,,Membantu?,1,0,Akhirnya sampe jg kopi asli toraja ..👍
14029755801,sadewa_f,5,"2024-01-29 12:13 | Variasi: 200 GRAM,Giling Sedang",Nikamat,Mantap,,Membantu?,2,0,Mantap kopinya
88931375504,k4rn41n,5,"2026-02-16 18:16 | Variasi: 200 GRAM,Biji Sangrai",Belum dicoba,Belum dicicipi,,Membantu?,1,0,Semoga rasanya sesuai ekspektasi.
11433068241,hj.sherlynolvarismawati2020,5,"2023-05-07 08:59 | Variasi: ,",,,,Membantu?,1,0,Sudah sampai
12023555013,coklat201580049,5,"2023-07-18 00:30 | Variasi: 200 GRAM,Biji Sangrai",aromanya wangi🤤,,,Membantu?,1,0,Bakal berlangganan🤭
13274999333,yone99,5,"2023-11-20 14:11 | Variasi: 200 GRAM,Giling Halus",,,,Membantu?,1,0,
17108463917,muhasrafdahlan16,5,"2024-10-12 21:09 | Variasi: 200 GRAM,Biji Sangrai",,,,Membantu?,1,0,
12476436771,syams2020,5,"2023-09-04 18:31 | Variasi: 200 GRAM,Giling Super Halus",,,,Membantu?,1,0,
7478421595,jerrytuhumena,5,2022-02-13 18:09,,,,Membantu?,1,0,"Suka,,,, pengirimannya supercepat"
41189108320,_yusufpratama28,5,"2025-05-07 22:44 | Variasi: 200 GRAM,Biji Sangrai",,,,Membantu?,1,0,Mantap
12433054463,eviisfandiari,5,"2023-08-30 21:57 | Variasi: 200 GRAM,Giling Halus",,,,Membantu?,1,0,
12589849087,haenk027,5,"2023-09-15 13:41 | Variasi: 200 GRAM,Giling Sedang",enak,bagus,,3,1,0,"Ada sedikit miskom tapi masalah sudah selesai, terima kasih atas respon baik dari seller semoga makin sukses kedepannya "
11081984384,nurulistiqamah07,5,2023-03-25 16:24,mantap,,,Membantu?,1,1,
8558976634,shifiyah,5,2022-06-03 14:31,,,,Membantu?,0,0,Rekomended
27316388264,ronalduskarurukan331,5,"2025-01-09 15:40 | Variasi: 150 GRAM,Giling Super Halus",wangi dan enak,sangat baik,lama ( Januari 2026),Membantu?,0,0,"Barang di kirim sesuai foto,kemasan bagus,aman sampai tujuan."
81164983411,imamboycrb2020,1,"2025-12-09 15:07 | Variasi: 200 GRAM,Giling Halus",entahlah blom dicoba,,tulisan sih setahun entah aslinya,Membantu?,3,1,"Pengiriman antar pulau cuma dibungkus 1 lembar kresek item.. ga dikasih kardus.. ga ada bubble wrap.. kita disini pesen satu kabupaten juga dikasih dus dan bubble wrap... Sangat kecewa
Pertama dan terahir!!!!"
34217044691,andiencantikk02,5,"2025-03-26 22:45 | Variasi: 150 GRAM,Giling Super Halus",belum dicoba,bagusss,masih lama,Membantu?,0,0,Dari wanginya sih enakk nanti dicobain
18291430515,coklat201580049,5,"2024-11-13 10:40 | Variasi: 200 GRAM,Biji Sangrai",,,,Membantu?,0,0,The best lah toko ini🙏
14621520106,h*****e,5,"2024-03-23 15:48 | Variasi: 200 GRAM,Giling Halus",,,,Membantu?,0,0,Rasa kopinya mantap
