review_id,username,rating,date_variant,rasa,kualitas,kadaluarsa,likes,image_count,video_count,comment,product_name,comment_clean,review_length,sentiment_score,sentiment_label
14390206207,kicksology_id,5,2024-03-04 13:02 | Variasi: BIJI SANGRAI,kopi,bagus,,9,2,1,"harum kopi nya mantap nanti beli lagi, makasih seller",KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,"harum kopi nya mantap nanti beli lagi, makasih seller",9,0.9959594550309703,positive
14145031968,t*****l,5,2024-02-08 14:54 | Variasi: GILING SUPER HALUS,ok,ok,,3,2,1,"Mantapp memang,,, soal rasa kopi toraja gada obatt,,,salam kopi hitam👍",KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,"Mantapp memang,, soal rasa kopi toraja gada obatt,,salam kopi hitam👍",10,0.9841737640090287,positive
79269405053,rikayunitasari77,5,2025-11-18 22:31 | Variasi: GILING SUPER HALUS,mantap,terjamin,,1,1,0,"repurchase wajib ini👍🏻👍🏻👍🏻👍🏻, baru buka aroma udah menggoda, di lambung relatif aman juga, rasa gak usah ragu, kopi berkelas harga waras ini mah hehehe, terima kasih Seller ya, ntar kunorder lagi, reccomended pake banget💥💥💥💥",KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,"repurchase wajib ini👍🏻👍🏻👍🏻👍🏻, baru buka aroma udah menggoda, di lambung relatif aman juga, rasa gak usah ragu, kopi berkelas harga waras ini mah hehehe, terima kasih Seller ya, ntar kunorder lagi, reccomended pake banget💥💥",34,0.9592364472337067,positive
32615487562,sabrishbr,5,2025-03-11 09:49 | Variasi: GILING SEDANG,sangat lezat dan memuaskan,sangat baik,,Membantu?,2,1,Mantap memiliki aroma yang khas,KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,Mantap memiliki aroma yang khas,5,0.9968549467157573,positive
60326075625,a*****i,5,2025-07-15 17:45 | Variasi: GILING SUPER HALUS,OK,OK,,Membantu?,3,1,Barang sudah kami terima dalam keadaan baik dan sesuai dengan pesanan. Terimakasih.,KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,Barang sudah kami terima dalam keadaan baik dan sesuai dengan pesanan. Terimakasih.,12,0.2237802892923355,neutral
79331472581,a*****i,5,2025-11-19 10:26 | Variasi: GILING SUPER HALUS,,,,Membantu?,2,1,Pesanan sudah diterimaa dengan baik pengiriman cepat dibungkus dengan aman .,KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,Pesanan sudah diterimaa dengan baik pengiriman cepat dibungkus dengan aman .,11,0.9619479215471074,positive
64991479656,iphul.islam,5,2025-07-31 22:22 | Variasi: BIJI SANGRAI,belum d coba,kelihatanya bagus,,Membantu?,3,1,"Sangat wangi ketika pertama kali d buka, dan bijinya kelihatn segar, serta pengiriman cepat",KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,"Sangat wangi ketika pertama kali d buka, dan bijinya kelihatn segar, serta pengiriman cepat",14,0.996736666013021,positive
36170062272,fidywansaga,5,2025-04-09 09:16 | Variasi: BIJI SANGRAI,harummm,"sangat memuaskan, belom buka aj, udh wangi",,Membantu?,1,0,thankyou bonusnya.. harum skali vanilinya..,KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,thankyou bonusnya.. harum skali vanilinya..,5,0.9933337692636997,positive
82038004980,nurzakiahkia219,5,2025-12-17 20:31 | Variasi: BIJI SANGRAI,sangat harum,,,Membantu?,2,1,Biji kopi harum dan rasanya enak cocok di lidah,KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,Biji kopi harum dan rasanya enak cocok di lidah,9,0.9971188481431454,positive
81231068735,anton007theant,5,"2025-12-10 13:33 | Variasi: GILING SUPER HALUS, BIJI SANGRAI",belum di coba tapi wangi,bintang lima,,Membantu?,3,1,"sekian lama menunggu seperti nya ini memuaskan, packing aman meski jauh. lain kali beli banyak kalau cafe kopi sudah berdiri. kurir ramah. kopi Toraja belum di coba baru di buka saja sudah wangy...sangat",KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,"sekian lama menunggu seperti nya ini memuaskan, packing aman meski jauh. lain kali beli banyak kalau cafe kopi sudah berdiri. kurir ramah. kopi Toraja belum di coba baru di buka saja sudah wangy..sangat",33,0.9893266316503286,positive
